VIN,GRADE,STOCKNUMBER,MAKE,MODEL,SERIES,YEAR,PRICE,BODY,CYLINDERS,DISPLACEMENT,EXTERIOR,INTERIOR,MILEAGE,TRANSMISSION,UPHOLSTERY,ENDDATE,ABGLOCATION,BUYDATE,BUYERNAME,WATCHEDBY,DEALERSHIPNAME,DRIVE TRAIN,CONDITION REPORT,SALES REP
5XXGT4L3XKG275766,3.6,,Kia,Optima,Lx,2019,13400,Sedan,4,2.4l,Silver,Black,43929,6-speed A/t,Cloth,2020-02-28T19:30:00.000Z,Phoenix- AZ,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToEzUwzoP6cBpu79nIM2sL9j40BfTR1zPSv1gocD6RanLVfXQYH7ahXjRm%2fO507sIcJOiEreoPlAX9%2bKnScL2NLuMx%2b0sW1Jks2qXqcbNLLwug%3d%3d,
5XXGT4L34KG309345,4.2,,Kia,Optima,Lx,2019,13700,Sedan,4,2.4l,Silver,Black,32716,6-speed A/t,Cloth,2020-02-24T19:30:00.000Z,Jacksonville- FL,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToFB5GgutRWZLDqZyFbXTMnwfJ0aYj9tTb5Io4uQ8uA5wbHbMVDTQjpfM4TdhZfH%2baJcnEA%2bhtUmEnzbO%2faSCad2sh%2fxppJ6g1URTvPy9V1lkQ%3d%3d,
5XYPG4A56KG463656,4.5,,Kia,Sorento,Lx V6,2019,16800,Suv,6,3.3l,Maroon,Black,47157,8-speed A/t,Leatherette,2020-02-27T19:30:00.000Z,Phoenix- AZ,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToEVZ3pOkN7ZxBDzNP7WiAybxpQcbSjsSKEwR0CqccPJ%2fga%2f6uXRsoMmu%2fOpOADy2TlUkU8jVB7x5gKKUswMmpi2vdeBS8%2bc%2f7tfqottZf3dfw%3d%3d,
5XYPG4A53KG447270,4.5,,Kia,Sorento,Lx,2019,16600,Suv,6,3.3l,Silver,Black,43169,8-speed A/t,Cloth,2020-02-28T19:30:00.000Z,Denver- CO,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToGPNVnOPHT6%2fWowjzL1zriuSj%2fjHLvpOxeimubMxwI6JApFwcRm8dlgdYthPBk%2bQXvQe64ax0du0NiH6cxXe6DrLRt%2fgC2G1jtLRbbOKnSD9Q%3d%3d,
5XXGT4L33KG298399,4.1,,Kia,Optima,Lx,2019,13700,Sedan,4,2.4l,White,Black,37137,6-speed A/t,Cloth,2020-02-26T19:30:00.000Z,Seattle- WA,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToGHISIvAYK%2bZBX9UWusK5SQ478A3hXwAwRKcGM3iTSSbQual0zOEXyrKiCfxZ8sLPMU%2bDCCOLSu03GB65iudBRPlqCRX9hYvS1TtE4%2faRU%2bpw%3d%3d,
5XXGT4L3XKG278408,4.5,,Kia,Optima,Lx,2019,14100,Sedan,4,2.4l,White,Black,31044,6-speed A/t,Cloth,2020-02-27T19:30:00.000Z,Dayton- OH,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToF7JQWV4meRu1yWZHXAnJYAElbhOBPRDHssuWYucCi2Gl%2bG0C4xeBs2o%2fFNFRuh95qw6zJEw0IWWi4YItfuM0883zzk4LWERKJ3j9I6Rx822Q%3d%3d,
5XXGT4L37KG301921,4.5,,Kia,Optima,Lx,2019,13800,Sedan,4,2.4l,Silver,Black,39046,6-speed A/t,Cloth,2020-02-25T19:30:00.000Z,Memphis- TN,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToFwJVFqSHHErTQWNQo9wCzLZaPAEDdsfay49hjVBggp6TqL2QP5X%2bkhe8yZNFJQBxSXHNVkjPe%2fVt3s2jWOeNYLQg3bmxDDbPmxkP3gcf0Mmg%3d%3d,
3KPF24AD9KE039337,3.7,,Kia,Forte,Lxs,2019,12400,Sedan,4,2.0l,Silver,Black,30245,A/t,Cloth,2020-02-26T19:30:00.000Z,Buffalo- NY,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToHA3IvTtmYmUs5LSKYzMMw6GWF26wMytIba%2fjfrsGHgT0cePDmtgPDu%2f0N%2fH5AwuECCf0M44WMYFrJAJdzKTsFp2nz2vR7KFOVrGjTS%2fCWK4g%3d%3d,
5XXGT4L3XKG274973,4.6,,Kia,Optima,Lx,2019,13700,Sedan,4,2.4l,Black,Black,41569,6-speed A/t,Cloth,2020-02-25T19:30:00.000Z,Albuquerque- NM,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToF299ERySJLt%2benOQmFxZZqbMZwE6k1zJ6R9L7xHVKLHIeXkORn6LHanDtCgDwo0HGpYbcp%2bUf5OlB4if5Y53jjopsMh7fqu5uGSFD%2b0kXR2g%3d%3d,
2T1BURHE0HC906555,4.3,,Toyota,Corolla,Le,2017,13000,Sedan,4,1.8l,Silver,Black,23437,A/t,Cloth,2020-02-27T19:30:00.000Z,Detroit- MI,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToFdCl%2fIJuzSLU5AbhHqcVRRFBaWQTGMFMldB99H2ytKK%2bEFRyFBRkVnMDZ67N4qKEl2z8LwqT1qNKdY5o6zcnOX4atwvyPB3Ic84fXZKo6WQQ%3d%3d,
1FATP8UH8G5212901,3.7,,Ford,Mustang,Ecoboost Premium,2016,16100,Convertible,4,2.3l,Black,Black,34966,A/t,Leather,2020-02-25T19:30:00.000Z,Las Vegas- NV,,,,,RWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToE0jM7dqq%2bF%2frdCzahmRgHqshEJWZc%2bN%2bKsrZMrTIoRUBPO7xVW6Yge7Wq7Oyj77HLKYLtDZL0KaPgfquRuLuMaKz4j3UzBHVZsEq2SvUoAoA%3d%3d,
5N1DR2BN6LC579456,4.5,,Nissan,Pathfinder,Sv,2020,24400,Suv,6,3.5l,Grey,Black,10837,A/t,Cloth,2020-02-26T19:30:00.000Z,Chicago Midway- IL,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToE9h%2f1%2fm2oBuogZaOm08yyg0xcUMLZNQaKf9QTsGGe7fJrzTgbvg4FFZuY1%2f2B4bHSOfJcVWuFiQF9EslaRInZIQWQvKM%2fr4Bhtwr5aH%2bNfGw%3d%3d,
3KPC24A37KE045230,3.9,,Hyundai,Accent,Se,2019,11300,Sedan,4,1.6l,Blue,Black,29580,6-speed A/t,Cloth,2020-02-26T19:30:00.000Z,Chicago Ohare- IL,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToH4LioL3YgOHrzWeRqwIcJLkWbPJfSqyWH2VkaiVSTGd%2b9XfwaFsHV56pbHAQrUzbv%2fRo6st4eNcGVbiGQDHEFE6HHmjpqlOu3Ek6Xc2Nd%2fqQ%3d%3d,
2T1BURHE0KC213914,4,,Toyota,Corolla,Le,2019,13800,Sedan,4,1.8l,Red,Black,23936,A/t,Cloth,2020-02-26T19:30:00.000Z,Atlanta- GA,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToEHfHZUyLTrl6rSbBzdGKQrqLI8uRUcQJUG4HsqEU%2fBqJ0ExQMF21NVKGRM08kJuUXlgbmi5SFIeCNVB475p8RjEwg31Mri5m0uvLFHXrkdug%3d%3d,
3C4NJDDB2JT441932,4.3,,Jeep,Compass,Trailhawk,2018,17100,Suv,4,2.4l,Grey,Black,46555,9-speed A/t,Cloth&leather,2020-02-26T19:30:00.000Z,Charlotte- NC,,,,,4WD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToFj2jrKio14ZA0TR8qMD%2bgdNdBOPQgvbyulpwQPv%2bGGWyPyRqIdz6wbLb0mSUxpiKRb196su3o02dymCj4jHl3PWUiOb2gZQMrAGUxWRd9kNA%3d%3d,
KNMAT2MT5KP520765,4.4,,Nissan,Rogue,Sv,2019,16000,Suv,4,2.5l,Silver,Black,35846,A/t,Cloth,2020-02-26T19:30:00.000Z,Charleston- SC,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToFbLLDTEg4evifHcLcmW9kzFBgMbrwt%2bvoOElo0YPvDNs62pb%2f8u9A4sg%2frYKjHemUwXYGJX5zovN6CxDH1bmRbQApzWONoaUxHudqoy9pXDQ%3d%3d,
1FMCU0G97KUB34212,4.5,,Ford,Escape,Se,2019,16100,Suv,4,2.0l,Red,Black,35347,6-speed A/t,Cloth,2020-02-26T19:30:00.000Z,Raleigh- NC,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToExoFeSZvI0SwpmLSVsgT9JBrYcJ5HYyo3BtCJlDaZryL05vTDbGELUJs0sYtLNEGxDd0WwB1%2bkGXZpZC6DAYaZIv3LdLsTSZZeg0ydGZOjNg%3d%3d,
2C4RDGEG9KR529255,3.6,,Dodge,Grand Caravan,Gt,2019,16800,Van,6,3.6l,Red,Black,40663,6-speed A/t,Leather,2020-02-29T19:30:00.000Z,Buffalo- NY,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToEgTbKht6sVMaKYgqLIgctCMTmqnObqWyp3GMKXJHAL1HSWEPwax3HP%2fPf06g%2bMNSfmcbNWgUstY9R2I%2b0kt8edtiKhAtDaE8oWd549rSRI9g%3d%3d,
JA4AZ3A39JZ042775,4.5,,Mitsubishi,Outlander,Se,2018,14100,Suv,4,2.4l,White,Black,52161,A/t,Cloth,2020-02-24T19:30:00.000Z,Santa Ana- CA,,,,,4WD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToEBbfA%2bGlRG%2b853Hxt8VYmDiTXu0OOhKD3grNKQ93zkZHgNC9ksqzuQkYNA3DNZ5CBssBaMj6Q%2bzUOKvGNF%2b2mWBkiXm5fAGhWvd6a62ww7oA%3d%3d,
5TDBZRFHXKS937843,4.4,,Toyota,Highlander,Le,2019,24000,Suv,6,3.5l,Silver,Black,37482,8-speed A/t,Cloth,2020-02-24T19:30:00.000Z,Syracuse- NY,,,,,AWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToEO6QadeAdXx3VJHNbizSzMzXqdVm%2fjDOmKdS6QmbyGtKmv%2bHprRxMx1e4KCX0zYSR364QjIYkGGruw570M6HwhL2zkZ3gjWHKf7OPFUUVDDQ%3d%3d,
1C4RJFBG4KC665681,4.6,,Jeep,Grand Cherokee,Limited,2019,27300,Suv,6,3.6l,Black,Black,35595,8-speed A/t,Leather,2020-02-27T19:30:00.000Z,Reno- NV,,,,,4WD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToF1E%2f6YegZ1ocdCwAJKnNgi4BepUsEZkkPBDiN7JHyZjF9dyYeetLtaaD3rOzfAE%2beiAwIsCMis7vBVXvrhhcaZGUsRP7U6B5%2bNjxizQhdc0Q%3d%3d,
3VWC57BU5KM131705,4.6,,Volkswagen,Jetta,S,2019,13000,Sedan,4,1.4l,White,Grey,30564,8-speed A/t,Cloth,2020-02-27T19:30:00.000Z,Oklahoma City- OK,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToGR9jNJTN9nOrx%2bIKzM7AAPRWbYgTbNXHM53uHwmW2%2bbOVJh9bGHg5SgvLq%2bkKmN6EXSmmLGJU1vUzVbP9rSRiYkDnMIjx6PewMl3A3NyIMQA%3d%3d,
2GNAXUEVXK6181833,4.4,,Chevrolet,Equinox,Lt,2019,16900,Suv,4,1.5l,Grey,Grey,43159,6-speed A/t,Cloth,2020-02-28T19:30:00.000Z,Dallas Dfw Airport- TX,,,,,AWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToEjat40Fc6Ui3vV0xd0lSIVCNRfAmLQo%2f5XblLD%2fqQDKact0vThYPGhdxEH6GBj6fYxskoSvfMBLKtGBojbnoQTZtO6ej1ix1YJQExXIylDkg%3d%3d,
KNMAT2MT8KP516841,4.4,,Nissan,Rogue,Sv,2019,15700,Suv,4,2.5l,Silver,Black,39183,Continuously Variable Trans,Cloth,2020-02-24T19:30:00.000Z,Philadelphia- PA,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToGTvraWbAcMhfcwwnCg4gN8rdl0IFy3o%2f4CCunv%2fgafk05FN03kwPW1speqnUuXNbLUGbijZOlmVB4UkGmAZpg5bweh8m%2b%2f4pHqFWKcY%2bkyyA%3d%3d,
5XXGT4L32KG296692,4.5,,Kia,Optima,Lx,2019,13400,Sedan,4,2.4l,Silver,Black,38381,6-speed A/t,Cloth,2020-02-25T19:30:00.000Z,Washington Dc- VA,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToG9SSAE%2frTLObfGXtCXX9GoGrHmzEqFeG55rVTvbZxau3FCitOt0A15ueMwFgfEXtQXm2x4XKrBHG%2bgeDtchA%2b%2bNvTcjtAXA%2bBlLK4%2bchNefw%3d%3d,
1C4RDJDG2KC691543,3.9,,Dodge,Durango,Gt,2019,26900,Suv,6,3.6l,Grey,Black,29462,8-speed A/t,Leather,2020-02-25T19:30:00.000Z,Boston- MA,,,,,AWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToGjVpqn9MD2ciEIjTGhOqav1M9VceihowSKVcHWquTHEhYXUirHcRdaAkqpx1U9hrasmIHYzCHFnsyONcOeBXPOvtBNCgO98zuvLYHqLQab6g%3d%3d,
2T1BURHE5KC172325,4.3,,Toyota,Corolla,Se,2019,14100,Sedan,4,1.8l,Black,Black,35318,A/t,Cloth&leather,2020-02-26T19:30:00.000Z,Greensboro- NC,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToEuPPgdOgMqaH55wbSk6Z8hjtRcrt1P8ukIpqg3tfblyIkY1qjcLCwCCIEJNbnaWDS6FW4FgFZCyvqJG%2bG3tmVUA8cWC4b%2b6VM5e0j8IMrcDA%3d%3d,
JM3KFACM1K1547746,4.5,,Mazda,Cx-5,Touring,2019,19200,Suv,4,2.5l,Silver,Black,33332,6-speed A/t,Leather,2020-02-27T19:30:00.000Z,Dallas Dfw Airport- TX,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToEZFMlCvlpJA2pnAKshLAA%2f9rtJKZaZLxehPP9AyYC4hWF6GzfdIspj3U%2bottBAVidIXc0rPb9ocC06fkirXoP%2bMbd3PBgbsZAsQwPsGlR9FQ%3d%3d,
2GNAXKEV8K6198800,4.3,,Chevrolet,Equinox,Lt,2019,16200,Suv,4,1.5l,Silver,Grey,38732,6-speed A/t,Cloth,2020-02-27T19:30:00.000Z,Dallas Dfw Airport- TX,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToFZgnuAGudy0qGhFopl26xhrAC%2f9t%2bWyjGFpvz5qgAIiR5xpP3l50uQDUbmLMT96745obFtwdzK4aMKxXT%2bahAm2Vakh1MIpzju9QZ1VRz2hg%3d%3d,
4T1B11HK8KU216722,4.2,,Toyota,Camry,Se,2019,18000,Sedan,4,2.5l,White,Black,40456,8-speed A/t,Leather,2020-02-28T19:30:00.000Z,Dallas Dfw Airport- TX,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToGsc3kbflIdadPDOcEef4L8ek5qoSkzazi7LjrU53v4Ce3Jbo09XXhvwbV3zfqndFqirkz0fct1rDBv2C2T9VvvEsRO9GumMdTsg6AnbY%2bJIw%3d%3d,
3FA6P0D92KR186650,4.1,,Ford,Fusion,Titanium,2019,18400,Sedan,4,2.0l,Grey,Black,31427,6-speed A/t,Leather,2020-02-29T19:30:00.000Z,Syracuse- NY,,,,,AWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToGrvtfVjR%2fKKcYI%2bTQIpJsKDDygmpfzD%2b0RvDDFkBY%2bq5QT3JySVLGnHQ4dHs151V6oFz78KAAwmdV0pTmZYCFvwtc%2fbbAQXNHmVJj%2bDeVlbA%3d%3d,
5XXGT4L34KG282034,3.6,,Kia,Optima,Lx,2019,13500,Sedan,4,2.4l,Maroon,Black,43511,6-speed A/t,Cloth,2020-02-29T19:30:00.000Z,Richmond- VA,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToFRu%2b%2bueJessE3ETqf6QH149GaWTvv7aFzKlbHYw3t9U5wmHVaOo7L%2fSSlznyxtru%2bm3ajtYDJ%2f9tsJsfpMi%2fOyZG9d%2fhlsX%2baS1OISK1pQYQ%3d%3d,
1FADP3K27HL279265,3.7,,Ford,Focus,Se,2017,9500,Wagon / Hatchback,4,2.0l,Grey,Black,50973,6-speed A/t,Cloth,2020-02-24T19:30:00.000Z,Philadelphia- PA,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToE1TdNDrOGeFNvltOtQ5wiy%2fVADGq%2fmV04h8KdApdmcpLjwsByahmpYEF2gBEEN7LL3tggilJmhVErLyM8JqsXTyw8M16tBChtTtO%2fP7Emtew%3d%3d,
5TDKZ3DC7KS991086,4.5,,Toyota,Sienna,Le,2019,23100,Van,6,3.5l,Silver,Grey,35692,8-speed A/t,Cloth,2020-02-26T19:30:00.000Z,Minneapolis- MN,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToEIHxifdRYJrtIBPPufpaibNlrMNiFpdaZA%2fmQH9vB1S%2fxBd6qnbOc4mO0gV5fitQq6gop6nsUKLutYoHAzl6Dzjbhzf74j5uoXK9HAYlJytA%3d%3d,
KNDCB3LC3K5250305,4.4,,Kia,Niro,,2019,16000,Wagon / Hatchback,4,1.6l,Silver,Black,32810,6-speed A/t,Cloth,2020-02-29T19:30:00.000Z,Syracuse- NY,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToFSBk98NNjOQ2gwlN%2bvF7ETn2fjnMNPEVu62Z7TtkAMfOF8iTqub0z2D326FzZoDQMoqIJivbcNmZ6LQnTkWOCYkVR9ZjAOBAuzh0pRboJNGw%3d%3d,
1N6AD0EV3JN729382,4.2,,Nissan,Frontier,Pro-4x,2018,21600,Pickup,6,4.0l,Grey,Black,31774,A/t,Cloth,2020-02-24T19:30:00.000Z,San Diego- CA,,,,,4WD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToHTLLMkt9tuokDHUHA9l%2fLIaH3lYolodf7UBsu%2biC2N0BzyKGPj41w4mn3ZRIUcFNyiSJqDrEDRNXq0FTV9zyGgJWHIki1g0OZCEuoI%2buSffg%3d%3d,
1N6AA1E57KN520369,4.2,,Nissan,Titan,Pro-4x,2019,31800,Pickup,8,5.6l,Green,Black,31706,7-speed A/t,Leather,2020-02-24T19:30:00.000Z,St Louis- MO,,,,,4WD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToFLOTt%2f%2fom27ICaIlYfQ5TprwTOuLItzetRnP2jqtIzVa%2bpCWlV4VAEzy04iAMHmNvcYxcBwuKpNkhlCzhtG78YCp96d8V0ZyJGy5329xNhRw%3d%3d,
1FMCU0G96KUB07549,3.9,,Ford,Escape,Se,2019,15400,Suv,4,2.0l,White,Grey,35257,6-speed A/t,Cloth,2020-02-27T19:30:00.000Z,San Jose- CA,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToGguGhxmORKPDz333S4iQbWGoEAx572s%2fgKbD2bHxyESy%2bl3AnkmI0KOEDzPZ0JvtBGSo5NNsJtj1HbyUnWXezDHZVFg6XkiJlc8MkqEY%2bbrQ%3d%3d,
2T1BURHE8KC233795,4.5,,Toyota,Corolla,Le,2019,13500,Sedan,4,1.8l,Brown,Grey,31202,A/t,Cloth,2020-02-26T19:30:00.000Z,Dallas Dfw Airport- TX,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToHwR1ZHz2gl9prHLgPhbGGdyZCxIFn4SH8MMipbT6FNAD0Wo0OvJxIfB7Sxf2wECYxNqvogp0SZPwLwXF3lfEryNZwGFfLcGeecrqO3emNqvA%3d%3d,
4T1B11HK0KU754962,4.3,,Toyota,Camry,Se,2019,18200,Sedan,4,2.5l,White,Black,28439,8-speed A/t,Cloth&leather,2020-02-29T19:30:00.000Z,Hartford- CT,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToHopziWPW03DKSG1HKY6ohWVBXicKXd5lfh41gyhOygT3OkLWSb3gp0kY3GiYRZFkIuKNZ0MaGYUxYcVoqSYTfWgv6TdwJ029jyVQjgwGkmww%3d%3d,
2FMPK4K92JBB45287,3.7,,Ford,Edge,Titanium,2018,20200,Suv,4,2.0l,Silver,Black,46923,6-speed A/t,Leather,2020-02-28T19:30:00.000Z,Salt Lake City- UT,,,,,AWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToEmbO9VkthE2WWfF9VST0o6NySPA4%2fgmyoZXFvS9SAMXnwnskmwldKel2II%2fcT1IKxmd8KUxS7o3QjPf21d71sYu2g0bNWCKXa2zR9R0bvwrQ%3d%3d,
1V2KR2CA6JC565351,3.9,,Volkswagen,Atlas,3.6l V6 Se,2018,22600,Suv,6,3.6l,White,Black,44425,8-speed A/t,Leatherette,2020-02-26T19:30:00.000Z,Orlando- FL,,,,,AWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToG6sZyLHgXG1Y3%2fq2rrzY2u6LFUXvx5Tp3lM%2fQP1Y5i70ov%2buOSutSJHj%2fujuboautTvvwYI3cMbPqOVMtcz4Uz8Sq1OdqRIUrpEfTMYNtsPQ%3d%3d,
1C4RJFBG5KC665480,4.2,,Jeep,Grand Cherokee,Limited,2019,26900,Suv,6,3.6l,Red,Black,30961,8-speed A/t,Leather,2020-02-25T19:30:00.000Z,Newark- NJ,,,,,4WD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToHlVO0yym1DfRqOUgHoXPllsZ6WNdSv53dAtTuBEH4iIiHBKuMElA8Yld0HPvbl%2bEl7S0JgRk8pUe47%2fqpjqHvQaoJ7mHGDr%2bxnOUmw%2f4zQNQ%3d%3d,
3VWFD7AT4JM719750,4.5,,Volkswagen,Beetle,S,2018,12300,Coupe,4,2.0l,Blue,Grey,35505,6-speed A/t,Cloth,2020-02-26T19:30:00.000Z,Providence- RI,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToFhgAqCmZ9yfF8z2SSlUl5mIpjvE5EoRrtDukBbrdXKhygeMrtssr9BEAA2ZbLohdYSKCoriQI%2bBvfjHXNLC8x5U3t66XkQlZ2Rvzo1zkBw0w%3d%3d,
3KPC24A38KE076714,4.6,,Hyundai,Accent,Se,2019,11600,Sedan,4,1.6l,Red,Grey,29264,6-speed A/t,Cloth,2020-02-26T19:30:00.000Z,Providence- RI,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToE%2f%2bOAbRdP5pvThGcS4RDUlnP8hgAyjPvKyqXhNC3BwGBP%2buW4jl2qGZFSB1sW9Mexyf0Bs%2bXPVUZU8XTgTC3q%2f3F%2bA4e%2b9LDLplCyBfYT52w%3d%3d,
3FADP4EJ1HM119759,3.3,,Ford,Fiesta,Se,2017,7800,Wagon / Hatchback,4,1.6l,Grey,Black,45129,6-speed A/t,Cloth,2020-02-25T19:30:00.000Z,Newark- NJ,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToGEg3lpdDxmG%2f3NgGt7VyWsd0QXtSEJR%2fOT68XYVci%2b38phPM7j%2fmXpSDOzYpJn0zZY%2fxhwGdoYa%2bQrV%2fI8kE6jDzB0ZFIGmxqC6iAScHZGsg%3d%3d,
3FADP4EJ2HM119768,2.9,,Ford,Fiesta,Se,2017,7500,Wagon / Hatchback,4,1.6l,Silver,Black,43658,6-speed A/t,Cloth,2020-02-25T19:30:00.000Z,Newark- NJ,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToFnrMLS2QpXfkVLH5XDrL3nqbw6hu71zWMXLSbx04Qejr1lafqE%2b2xEytKoXbTws%2fKDeUDrhIrjn69c7kQSLtdiBAnXoUhV7DHN3BNZZYhUYg%3d%3d,
1C4PJMBX9KD298590,4.8,,Jeep,Cherokee,Trailhawk,2019,20700,Suv,6,3.2l,Grey,Black,34438,9-speed A/t,Cloth&leather,2020-02-25T19:30:00.000Z,Cincinnati Hebron- KY,,,,,4WD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToEv7snLURy%2foFwKlQcsIItlDnB9%2bEA4uUMfLhqpNtx9xO4QVgmFUmiu4NdvC0lw6qR8WilWbbTGkOslaXmY4KdEIROyyWm2Xb%2bFhtL%2fkjLNbg%3d%3d,
1C4RJFBG4KC686305,3.9,,Jeep,Grand Cherokee,Limited,2019,25700,Suv,6,3.6l,Grey,Black,40345,8-speed A/t,Leather,2020-02-25T19:30:00.000Z,Detroit- MI,,,,,4WD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToGgeMoWn1XMAyAXopw6VmTX45YZZNJyzZwZAJIxefGMeCeNAZi5Z76PTKMBZxJdNj2FIXcTjZdk0RJRmSCM77iEEbGvi2jfq%2fPxBb%2bnPd0V4w%3d%3d,
5N1AT2MTXKC754287,4.4,,Nissan,Rogue,Sv,2019,15900,Suv,4,2.5l,Black,Black,28167,Continuously Variable Trans,Cloth,2020-02-25T19:30:00.000Z,Buffalo- NY,,,,,FWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToF47i2cH%2b9FQvOEndLMNWc9AVy6nR3kWthgS215sQOzERqrb2%2fDETE4bxIcMwiz4nzQd3kjIkGKBQRW1etCPPAMG0l0VsVekXy29y0XM6rjBQ%3d%3d,
1C4RDHDG4KC645138,4.1,,Dodge,Durango,Gt,2019,25400,Suv,6,3.6l,White,Black,29940,8-speed A/t,Cloth,2020-02-25T19:30:00.000Z,Newark- NJ,,,,,RWD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToFONKy4b2YEfs9XSZ%2bpztRyvGt5Lpqg%2bvQuOmKVVpG%2bcPoP5StysfnrayyFhzkhEH%2f8YyRLVxc9eRTuuFV7W2c9wsRjbOTvZDsamjEK1xGIPA%3d%3d,
3C4NJDDB8KT688311,4.5,,Jeep,Compass,Trailhawk,2019,19100,Crossover Utility Vehicle,4,2.4l,Black,Black,34447,A/t,Cloth&leather,2020-02-26T19:30:00.000Z,Tulsa- OK,,,,,4WD,http://crd.aiminspections.com/crd/PDFReport.aspx?report=DZ0TBxLnToGXAHjStFVzYsozAhCaxI6Q7A047LOvy%2fm2B1B5eF%2b7Q33%2bVxWUtXVqbH4n%2fvCN5OgdTakIS1ZQr1OqHywAnYNw2hQgL6Wl5mN%2bUCgChxhidA%3d%3d,
